,Node Name,Level,Type
0,XX_1111111111,0,I
332,XX_1111111111,0,I
319,XX_1111111111,0,I
1174,XX_1111111111,0,I
308,XX_1111111111,0,I
1181,XX_1111111111,0,I
1198,XX_1111111111,0,I
285,XX_1111111111,0,I
1249,XX_1111111111,0,I
1264,XX_1111111111,0,I
244,XX_1111111111,0,I
1317,XX_1111111111,0,I
1332,XX_1111111111,0,I
1165,XX_1111111111,0,I
205,XX_1111111111,0,I
1362,XX_1111111111,0,I
182,XX_1111111111,0,I
1413,XX_1111111111,0,I
163,XX_1111111111,0,I
1418,XX_1111111111,0,I
154,XX_1111111111,0,I
1479,XX_1111111111,0,I
1490,XX_1111111111,0,I
117,XX_1111111111,0,I
1505,XX_1111111111,0,I
1510,XX_1111111111,0,I
96,XX_1111111111,0,I
1355,XX_1111111111,0,I
1138,XX_1111111111,0,I
368,XX_1111111111,0,I
1115,XX_1111111111,0,I
728,XX_1111111111,0,I
753,XX_1111111111,0,I
656,XX_1111111111,0,I
770,XX_1111111111,0,I
639,XX_1111111111,0,I
807,XX_1111111111,0,I
822,XX_1111111111,0,I
841,XX_1111111111,0,I
860,XX_1111111111,0,I
572,XX_1111111111,0,I
887,XX_1111111111,0,I
545,XX_1111111111,0,I
910,XX_1111111111,0,I
915,XX_1111111111,0,I
526,XX_1111111111,0,I
940,XX_1111111111,0,I
497,XX_1111111111,0,I
1003,XX_1111111111,0,I
1028,XX_1111111111,0,I
474,XX_1111111111,0,I
1047,XX_1111111111,0,I
445,XX_1111111111,0,I
1066,XX_1111111111,0,I
1085,XX_1111111111,0,I
406,XX_1111111111,0,I
1100,XX_1111111111,0,I
385,XX_1111111111,0,I
1553,XX_1111111111,0,I
1570,XX_1111111111,0,I
349,XX_1111111111,0,I
1618,XX_1111111111,0,I
17,XX_1111111111,0,I
34,XX_1111111111,0,I
47,XX_1111111111,0,I
1595,XX_1111111111,0,I
707,XX_1111111111,0,I
1571,25_1111211111,1,I
1250,11_0222000000,1,I
1200,56_2111111111,1,I
1199,41_0111111121,1,I
286,15_1112212001,1,I
287,22_1111111111,1,I
823,13_1112211101,1,I
1183,17_2111111111,1,I
1182,14_1111111111,1,I
36,12_2112111000,1,I
35,9_2111111021,1,I
309,1_2100101000,1,L
310,13_2112111021,1,I
1176,13_1111111111,1,I
1175,12_1111111111,1,I
320,15_1101101100,1,I
321,17_1112011011,1,I
1167,10_2111111111,1,I
333,14_2110101111,1,I
334,17_0011200200,1,I
1166,8_1111111111,1,I
842,17_2102111221,1,I
1251,14_0112000000,1,I
809,14_1112111211,1,I
808,11_1101111010,1,I
1265,33_0112210221,1,I
48,43_1111111111,1,I
658,59_1111111111,1,I
657,41_1111111211,1,I
183,20_0101001011,1,I
184,25_0111111111,1,I
1364,57_1111111111,1,I
1363,47_1111111111,1,I
1357,6_2100101000,1,I
1356,5_2100111000,1,I
206,32_2112111111,1,I
843,22_1111011111,1,I
207,38_1111111111,1,I
772,38_1111111011,1,I
1334,25_1111111111,1,I
1333,21_1111111111,1,I
641,20_2111111221,1,I
1319,22_1111111111,1,I
1318,1_2112211101,1,L
640,17_1111111111,1,I
245,34_1111111011,1,I
246,45_1111111111,1,I
1266,55_1101111101,1,I
771,31_1111111011,1,I
708,21_1111111111,1,I
350,13_0220002121,1,I
351,18_1111111111,1,I
447,29_1111111111,1,I
1049,18_1111211121,1,I
1048,13_1112111111,1,I
1030,27_1111011111,1,I
1029,21_1120111101,1,I
475,19_0100001122,1,I
476,22_1111101011,1,I
19,19_2101111000,1,I
547,28_1111101011,1,I
546,23_1111111001,1,I
446,23_1111011111,1,I
1005,33_1111111111,1,I
18,17_2110101111,1,I
498,2_2120101101,1,L
499,31_1110101101,1,I
911,1_2100101021,1,L
912,6_1110101111,1,I
942,62_1111111111,1,I
941,47_1111111111,1,I
916,20_1100101011,1,I
917,25_1100101000,1,I
528,18_1111111221,1,I
1004,26_1111111111,1,I
1414,1_1211212201,1,L
889,29_1112111111,1,I
1067,15_1111111111,1,I
1140,34_1112112111,1,I
1139,28_1112112111,1,I
369,16_1111111111,1,I
370,9_0200000021,1,L
1117,31_1111111111,1,I
1116,23_1111111111,1,I
1572,26_0100000101,1,I
1619,60_1111111111,1,I
386,18_1111111111,1,I
387,20_1122011111,1,I
888,26_1111111111,1,I
861,19_1111111111,1,I
1102,14_1111101111,1,I
1101,11_1101101001,1,I
1620,83_1111111111,1,I
407,32_1111111111,1,I
408,38_1111111111,1,I
574,78_1111111111,1,I
573,68_1111111111,1,I
1087,22_2122111221,1,I
1086,19_2121211101,1,I
1068,18_0111111021,1,I
862,26_1111111111,1,I
1415,5_2112010221,1,I
824,18_2100101000,1,I
119,36_1111111001,1,I
155,11_1112111100,1,I
755,18_1110101101,1,I
754,15_1111101111,1,I
2,17_1111111121,1,I
1480,9_2011020221,1,I
1481,11_1222112201,1,I
1491,11_2112212001,1,I
1492,14_2112212001,1,I
118,30_1111111111,1,I
1597,22_0010112201,1,I
1506,6_2102001201,1,L
1507,11_0111111111,1,I
1596,17_2100000121,1,I
98,23_2111111111,1,I
97,19_1111111101,1,I
1511,38_1111111111,1,I
1512,48_1111111111,1,I
730,33_1111111221,1,I
729,27_0112211211,1,I
1,15_1112112121,1,I
1554,17_0112212221,1,I
1555,19_2112212121,1,I
709,24_1111111221,1,I
156,8_1122211101,1,L
1420,76_1111211111,1,I
527,13_2110111121,1,I
165,20_2111111101,1,I
49,49_1111111101,1,I
164,13_1102111000,1,I
1419,53_1111211111,1,I
99,16_1111111101,2,I
100,18_1111101201,2,I
1621,53_1111111111,2,I
577,71_1111111111,2,I
578,77_1110111221,2,I
101,22_2112111221,2,I
409,25_1111111111,2,I
102,14_2100101000,2,L
1103,9_1101101001,2,I
1104,10_2100101000,2,I
1105,12_1101101111,2,I
1106,13_1111001011,2,I
864,18_1112111221,2,I
410,31_1111111111,2,I
411,34_1111011011,2,I
412,37_1111111111,2,I
576,67_1111111111,2,I
575,56_1111111111,2,I
3,13_2112212021,2,I
1091,21_2122111221,2,I
1090,20_2122111221,2,I
1089,18_2121211201,2,I
1088,17_2121212001,2,I
1573,21_1111211111,2,I
1622,59_1111111111,2,I
865,22_1112111111,2,I
866,25_0111011211,2,I
1072,17_0111011021,2,I
1071,16_0112211021,2,I
863,1_2000100000,2,L
1509,10_0111111001,2,L
391,19_1122011111,2,I
1070,14_2112111121,2,I
120,22_1111111111,2,I
169,19_2112111101,2,I
185,18_0201000021,2,I
1598,13_2000000021,2,I
352,11_0220002121,2,I
353,12_0220002121,2,I
354,14_2100101000,2,I
355,17_0112211121,2,I
1144,33_2112212211,2,I
1143,30_0122012000,2,I
1142,27_1122012101,2,I
1141,25_2112112221,2,I
1361,4_2100101000,2,L
845,16_2102010221,2,I
846,20_1112011121,2,I
847,21_0210012201,2,I
734,32_1112111221,2,I
390,9_1122011111,2,L
389,17_1111101221,2,I
388,14_2102111111,2,I
1574,24_0111211221,2,I
1417,4_2112010221,2,L
731,24_0112211201,2,I
1508,7_0111211211,2,L
732,26_0112211211,2,I
1118,4_1111111111,2,L
1119,22_1111111111,2,I
1120,25_1111111111,2,I
1121,30_2111111111,2,I
372,15_1100111001,2,I
371,12_1111111111,2,I
733,29_1000111221,2,I
1069,13_0101010101,2,I
1360,3_2100101000,2,L
1513,33_1111111111,2,I
1008,32_1111111211,2,I
1007,25_1110101011,2,I
1006,23_1111111111,2,I
167,4_2102101000,2,L
1556,14_0112212221,2,I
1557,16_0112212221,2,I
1576,15_0000000101,2,L
1558,9_2122212221,2,L
1559,18_2112212121,2,I
500,25_2120102101,2,I
501,30_1110101101,2,I
913,4_0110201221,2,L
914,5_2100101000,2,L
946,61_1111111111,2,I
945,54_1111111111,2,I
944,46_0112011012,2,I
943,39_2110101121,2,I
919,19_2100101001,2,I
920,23_1100101000,2,I
921,24_1100101000,2,I
168,16_2101111201,2,I
529,11_2120211221,2,I
530,12_2110100021,2,I
1009,22_2100101000,2,L
531,16_1110111221,2,I
918,17_0000000021,2,I
710,17_1111111101,2,I
711,20_0111111121,2,I
1623,75_1111111011,2,I
712,22_2012111221,2,I
713,23_0110111221,2,I
532,17_1111111221,2,I
166,3_0102011000,2,L
548,19_1111111001,2,I
549,22_1101101001,2,I
893,28_1112111211,2,I
892,27_1212010102,2,I
451,28_1111101111,2,I
450,26_1111211001,2,I
449,22_1111001201,2,I
448,19_1111011111,2,I
1053,17_1111212121,2,I
659,4_1111211221,2,L
22,18_2101111000,2,I
891,25_1111101011,2,I
890,22_0112111100,2,I
1515,42_1111111111,2,I
1514,37_1111111111,2,I
23,12_2100101000,2,L
1516,47_1111111111,2,I
121,29_1111111111,2,I
1052,16_2110211021,2,I
1050,11_1112111111,2,I
480,21_1111101011,2,I
479,20_1111001011,2,I
478,18_0100000222,2,I
477,15_0100001022,2,I
20,13_2120101121,2,I
1031,4_0120111100,2,L
1051,12_1112111211,2,I
1032,20_1120111101,2,I
1034,26_2102011221,2,I
550,24_1111101001,2,I
551,27_1111101011,2,I
21,16_2110101210,2,I
661,51_0100111111,2,I
660,40_0111111211,2,I
1033,24_1111011101,2,I
338,16_0011200200,2,I
844,15_2102111221,2,I
336,13_2120101111,2,I
1366,46_1111111111,2,I
6,10_0112212221,2,L
40,11_2102111000,2,I
1365,40_0122211011,2,I
756,14_1111101111,2,I
1267,31_0122210221,2,I
1367,53_1111111111,2,I
1268,32_0212210221,2,I
249,40_1111111111,2,I
248,33_1111111011,2,I
247,1_2100101000,2,L
757,7_1111001201,2,L
758,16_1110201201,2,I
1269,45_2102111101,2,I
250,44_1111101011,2,I
1270,54_1100001101,2,I
810,9_1100101000,2,I
1255,13_0122000000,2,I
1482,8_2021020221,2,I
188,24_0100001000,2,I
1201,37_0000010121,2,I
1202,40_0112211221,2,I
1203,48_2112011221,2,I
1204,55_2111111111,2,I
811,10_2101111010,2,I
813,13_2112111221,2,I
39,10_2112111000,2,I
1368,56_1111111121,2,I
52,46_1111111100,2,I
1252,9_0222000000,2,I
1253,10_0222000000,2,I
1254,12_0112000000,2,I
337,15_0001200200,2,I
38,8_2112111021,2,I
776,37_1111101011,2,I
774,30_1111111011,2,I
51,42_1111111111,2,I
50,29_2101101000,2,I
4,14_0012112221,2,I
211,37_1112111111,2,I
210,35_1110001111,2,I
209,31_2112111211,2,I
773,24_1111001011,2,I
208,27_2112111111,2,I
1601,21_0000212201,2,I
1600,20_0010112200,2,I
158,10_1112111100,2,I
1599,16_2100000221,2,I
1358,1_2100111000,2,L
1359,2_2100101000,2,L
157,9_1102111000,2,I
775,34_1111111011,2,I
1338,24_1111111111,2,I
1336,20_1111111211,2,I
5,16_2120010021,2,I
759,17_1110101101,2,I
662,58_1111111111,2,I
1424,75_0112211111,2,I
1320,19_1111111111,2,I
1321,21_1111111111,2,I
1337,22_1111111011,2,I
1423,60_2111211211,2,I
643,16_1112111221,2,I
644,18_2111011221,2,I
645,19_2111212221,2,I
1422,52_2111212121,2,I
1421,48_1112211111,2,I
1335,18_1111111111,2,I
642,15_1111111111,2,I
1483,3_2011020221,2,L
812,12_1112111201,2,I
288,13_1112212001,2,I
53,48_2110101001,2,I
187,23_0111111111,2,I
311,10_2112111021,2,I
312,12_2212110021,2,I
1178,2_1111111111,2,L
1177,1_1111111111,2,L
186,19_0100001012,2,I
1484,10_1222212201,2,I
1493,9_2112212001,2,I
1575,14_0100000101,2,L
826,12_0122211101,2,I
827,16_2100101000,2,I
1494,10_2012212001,2,I
1495,12_2112212001,2,I
322,13_2100101000,2,I
323,14_1101101100,2,I
324,10_0102011000,2,L
325,16_1112011021,2,I
828,17_2100101000,2,I
1171,7_2111111121,2,L
1170,9_2111111211,2,I
1169,4_1111111111,2,L
1168,3_1111111011,2,L
1496,13_2122212001,2,I
123,35_1111111001,2,I
122,32_1110101001,2,I
335,1_2100101000,2,L
1179,10_1111111111,2,L
1180,11_1111111001,2,L
1416,3_2112010221,2,L
1187,16_2110011000,2,I
37,1_2110101021,2,L
1184,1_0111111111,2,L
1485,7_1222012201,2,L
1185,13_1111111101,2,I
1624,82_1111111111,2,I
1186,15_2112111111,2,I
825,11_1112211001,2,I
289,14_1112212001,2,I
290,18_1111111011,2,I
291,21_1111111121,2,I
1626,52_1111111211,3,I
821,8_2112111221,3,L
819,6_1112011201,3,L
818,5_2112111201,3,L
817,4_2100101020,3,L
1630,74_1111111011,3,I
737,25_0112211211,3,I
901,19_2112111221,3,L
900,16_0112011200,3,L
736,23_0112211201,3,I
816,3_2102111000,3,L
815,2_0100001000,3,L
814,1_2100101000,3,L
1632,81_2112111001,3,I
715,16_1111211101,3,I
714,1_2111111101,3,L
738,13_0112211201,3,L
1629,67_2111111011,3,I
830,2_1112211001,3,L
832,4_0122211101,3,L
833,14_2100101000,3,I
834,15_2100101000,3,I
835,9_2100101000,3,L
762,8_1110201201,3,L
763,9_1110201201,3,L
836,10_2100101000,3,L
1631,78_1111111111,3,I
829,1_1112211001,3,L
764,10_1110001201,3,L
765,11_2100101001,3,L
848,1_2102111221,3,L
760,12_1110001211,3,I
1625,49_2111111111,3,I
820,7_2122111221,3,L
849,2_2102111221,3,L
716,18_0111211221,3,I
1627,55_1112111111,3,I
897,24_1111101011,3,I
896,23_2111101011,3,I
895,21_0112111200,3,I
852,18_1112011121,3,I
853,19_1112011021,3,I
854,13_0210012201,3,L
894,20_0122011100,3,I
898,12_1222010102,3,L
855,14_0210012201,3,L
782,33_1111001011,3,I
783,35_1111101011,3,I
784,36_1111101011,3,I
1628,58_2100101021,3,I
740,28_1000111221,3,I
741,30_1112111221,3,I
742,31_1112111221,3,I
739,15_1000111221,3,L
899,13_1202010002,3,L
781,32_1111111011,3,I
872,24_0110001201,3,I
850,3_2102010221,3,L
735,8_0112210201,3,L
867,16_2202112221,3,I
717,19_0000100021,3,I
868,17_1122111221,3,I
869,7_0102212101,3,L
851,4_2102010221,3,L
761,13_1111101111,3,I
870,21_2112111211,3,I
719,13_2002111221,3,L
777,1_1111001011,3,L
720,14_0110111221,3,L
721,15_0120111221,3,L
778,23_1111001011,3,I
779,27_1111111011,3,I
871,23_0112011221,3,I
718,12_2022111221,3,L
780,29_1111001011,3,I
1112,6_2101001000,3,L
923,16_0000000021,3,I
1277,48_1100001201,3,I
1278,53_2100002001,3,I
1603,2_2000000021,3,L
1322,17_2112001211,3,I
1323,18_1111111111,3,I
1324,14_1112111111,3,L
1325,20_1111111111,3,I
1602,1_2000000021,3,L
1339,16_1111111111,3,I
1340,17_1111111211,3,I
1341,19_1111111211,3,I
1342,7_1111111211,3,L
1343,9_1011111011,3,L
1344,10_1111111011,3,L
1345,23_1111111111,3,I
1346,15_1111111111,3,L
1369,36_0122212021,3,I
1276,44_2102211101,3,I
1275,38_2102110101,3,I
1274,4_0212210221,3,L
1273,3_0212210221,3,L
1206,36_0000010021,3,I
1207,38_0112211221,3,I
1208,39_0112212221,3,I
1209,44_2112011221,3,I
1210,47_2112011221,3,I
1211,51_2112111101,3,I
1212,54_2000212011,3,I
1256,1_0222000000,3,L
1370,39_0122211011,3,I
1257,2_0222000000,3,L
1259,4_0222000000,3,L
1260,5_0112000000,3,L
1261,6_0112000000,3,L
1262,7_0122000000,3,L
1263,8_0122000000,3,L
1604,14_2100000221,3,I
1271,1_0122210221,3,L
1272,2_0122210221,3,L
1258,3_0222000000,3,L
1205,35_0000000221,3,I
1371,42_1111111011,3,I
1373,49_1111111111,3,I
1504,8_2122212001,3,L
1517,31_1111111111,3,I
1518,32_1111111111,3,I
1519,35_1111111111,3,I
1520,36_1111111111,3,I
1521,39_1111111111,3,I
1522,41_1111111111,3,I
1523,45_1111111111,3,I
1524,46_1111111111,3,I
1580,23_0111211221,3,I
1560,13_0112212221,3,I
1561,4_0112212221,3,L
1562,5_0112212221,3,L
1563,15_0112212221,3,I
1564,11_2112212021,3,L
1565,12_2112212221,3,L
1579,22_0111211221,3,I
1503,7_2122212001,3,L
1502,6_2102212001,3,L
1501,5_2112212001,3,L
1500,4_2012212001,3,L
1374,52_1111111111,3,I
1375,55_1111111121,3,I
1376,33_1112212121,3,L
1425,3_0112211221,3,L
1426,4_2222212000,3,L
1427,51_2111212121,3,I
1428,17_2121212221,3,L
1429,56_2110211201,3,I
1372,45_2111111221,3,I
1430,59_2112212221,3,I
1432,74_0112211111,3,I
1486,1_2021020221,3,L
1487,2_2021020221,3,L
1488,5_1222212201,3,L
1489,6_1222212201,3,L
1497,1_2122212001,3,L
1498,2_2102212001,3,L
1499,3_2022212001,3,L
1431,67_0012211000,3,I
922,15_0000000021,3,I
1193,10_2110011000,3,L
1191,8_2112111121,3,L
1037,22_1111001201,3,I
1038,23_0111011101,3,I
1039,16_2102011221,3,L
1040,25_2102011221,3,I
1054,1_1112001011,3,L
1055,2_1112111211,3,L
1056,3_0112111211,3,L
1057,4_1112111211,3,L
1058,14_2110211021,3,I
1059,15_2110211021,3,I
1060,9_1111212021,3,L
1061,10_1111212121,3,L
1073,11_0101000101,3,I
1074,12_0201010201,3,I
1075,5_2122211021,3,L
1076,6_2202011221,3,L
1077,7_0112210021,3,L
1036,7_1120111101,3,L
1035,5_1120111100,3,L
1015,31_1111111211,3,I
1014,29_1111001211,3,I
924,5_2100101000,3,L
925,18_2100101001,3,I
926,21_2100101000,3,I
927,22_1100101000,3,I
928,13_2100101000,3,L
929,14_0100001000,3,L
947,35_2110101021,3,I
948,38_2100101221,3,I
1078,8_0112211021,3,L
949,42_0112011012,3,I
951,50_1111101111,3,I
952,53_1112111121,3,I
953,57_2111111111,3,I
954,60_1121111111,3,I
1010,1_2111101221,3,L
1011,2_1112211000,3,L
1012,24_1110101011,3,I
1013,5_2100101000,3,L
950,45_0112011012,3,I
1192,9_2110011000,3,L
1079,9_0100011021,3,L
1092,9_2121212001,3,L
1608,11_0000212201,3,L
1145,23_2112012221,3,I
1146,24_2112212221,3,I
1147,26_1122012001,3,I
1148,15_0122012201,3,L
1149,16_0122012000,3,L
1150,29_0122012000,3,I
1151,31_2112212211,3,I
1152,32_2112212211,3,I
1607,19_0000212200,3,I
1606,18_0010012200,3,I
1172,5_2111111211,3,L
1605,15_2100000221,3,I
1173,6_2111111211,3,L
1188,11_1111111101,3,I
1189,12_1111111101,3,I
1190,7_2112211201,3,L
1127,29_2111111111,3,I
1126,27_2111111111,3,I
1125,10_1111111111,3,L
1124,24_1111111111,3,I
1093,10_2121212001,3,L
1094,11_2121211201,3,L
1095,12_2121211201,3,L
1096,13_2122111221,3,L
1097,14_2122111221,3,L
1098,15_2122111221,3,L
1099,16_2122111221,3,L
1107,1_0101001001,3,L
1080,10_0112011021,3,L
1108,2_2101101000,3,L
1110,4_2100101000,3,L
1111,5_1101201221,3,L
1113,7_1111001001,3,L
1114,8_1111001021,3,L
1578,20_1211211121,3,I
1122,5_1111111111,3,L
1609,12_0000212201,3,L
1123,6_1111111111,3,L
1109,3_2100101000,3,L
1577,17_1110210011,3,I
831,3_0122211101,3,L
456,24_1111201001,3,I
252,32_1111111001,3,I
253,36_1111111011,3,I
254,39_1111111121,3,I
255,21_1111001011,3,L
256,43_1111101011,3,I
357,2_0220002121,3,L
356,1_0220002121,3,L
586,76_1110111221,3,I
585,73_1110111221,3,I
584,70_1100100000,3,I
251,29_1111111011,3,I
344,10_0011200200,3,L
342,8_0001200200,3,L
583,69_1112111111,3,I
582,66_1111111111,3,I
581,59_1111111111,3,I
580,55_1111111111,3,I
579,52_1111111111,3,I
341,7_0001200200,3,L
131,34_2111111000,3,I
130,33_1111101001,3,I
129,31_0110201001,3,I
343,9_0011200200,3,L
128,13_2110101001,3,L
358,3_0220002121,3,L
360,5_2100101000,3,L
160,2_1102211000,3,L
159,1_2102111000,3,L
483,16_0100000222,3,I
484,17_0000000222,3,I
485,9_1101001011,3,L
486,10_1111001011,3,L
487,11_1111101011,3,L
488,12_1111001011,3,L
29,10_2102111000,3,L
363,16_0122211121,3,I
359,4_0220002121,3,L
41,2_2112111021,3,L
297,17_1111111021,3,I
44,5_2102111000,3,L
45,6_2102111000,3,L
46,7_2102111000,3,L
54,27_2100101000,3,I
55,28_2101101000,3,I
56,36_2111111111,3,I
57,41_1111111100,3,I
362,15_0102211221,3,I
361,6_2100101000,3,L
42,3_2112111021,3,L
127,28_2212111101,3,I
126,25_1111101111,3,I
125,21_2111111211,3,I
534,2_2120212221,3,L
533,1_2120211221,3,L
502,21_2120102101,3,I
503,24_2020102101,3,I
504,26_2110101100,3,I
505,29_0100201001,3,I
108,21_2102111221,3,I
107,20_2112111221,3,I
58,44_0111111100,3,I
59,45_2121101100,3,I
535,3_2110100021,3,L
60,47_2110101000,3,I
106,17_1110001201,3,I
105,4_0001200201,3,L
104,3_2121121101,3,L
103,15_1101111101,3,I
292,1_1112212001,3,L
299,20_1111111121,3,I
293,2_1112212001,3,L
294,3_1112212001,3,L
295,4_1112212001,3,L
296,16_1101011001,3,I
61,26_2210100001,3,L
536,4_2110100021,3,L
537,14_1110112221,3,I
538,15_1110111221,3,I
124,20_1111101011,3,I
340,12_2120101121,3,I
339,11_2120101100,3,I
331,12_1112011021,3,L
330,11_1112011021,3,L
329,4_2100101000,3,L
559,26_1111001011,3,I
558,25_2111101000,3,I
557,10_1111101001,3,L
556,9_1101001000,3,L
555,21_1101101001,3,I
554,20_2100101000,3,I
553,18_1111111001,3,I
552,17_2111101000,3,I
328,3_1101001100,3,L
327,2_2100101000,3,L
326,1_2100101000,3,L
316,11_2212110021,3,I
315,7_2212110021,3,L
314,6_2112111021,3,L
313,5_2102111021,3,L
540,10_1111111221,3,L
539,9_0111111221,3,L
28,9_2100101000,3,L
27,15_2100101200,3,I
43,4_2112111000,3,L
25,2_2120101121,3,L
414,24_1111111111,3,I
413,21_1111001000,3,I
397,11_1122011111,3,L
396,10_1122011111,3,L
395,16_1111201221,3,I
212,23_2112111111,3,I
213,26_2112111201,3,I
668,57_1112111211,3,I
667,52_1111211111,3,I
415,27_1112211101,3,I
666,50_0100111121,3,I
26,14_2110101210,3,I
664,39_0111011221,3,I
663,38_0111111211,3,I
214,29_2112111221,3,I
215,30_2112111201,3,I
653,13_2211212221,3,L
652,12_2111212221,3,L
651,11_2111011221,3,L
650,10_2111012221,3,L
